,flow_rate,voltage,image_classification,ml_classification,nn_classification,generalist_ml_classification
217,11.0,3000.43,dripping (100%),intermitent,intermitent,intermitent
218,11.0,3200.45,dripping (99%),undefined,intermitent,undefined
219,11.0,3400.6,dripping (100%),intermitent,intermitent,intermitent
220,11.0,3600.34,dripping (92%),intermitent,intermitent,intermitent
221,11.0,3800.6,dripping (100%),undefined,intermitent,undefined
222,11.0,4000.45,dripping (99%),undefined,intermitent,undefined
223,11.0,4200.6,dripping (100%),undefined,intermitent,undefined
224,11.0,4400.45,dripping (99%),cone_jet,intermitent,undefined
225,11.0,4600.68,dripping (96%),undefined,intermitent,undefined
226,11.0,4800.51,dripping (91%),cone_jet,intermitent,undefined
227,11.0,5000.68,intermitent (61%),cone_jet,intermitent,undefined
228,11.0,5200.47,dripping (90%),undefined,intermitent,undefined
229,11.0,5400.63,dripping (58%),cone_jet,intermitent,undefined
230,11.0,5600.47,intermitent (95%),intermitent,intermitent,intermitent
231,11.0,5800.65,intermitent (91%),undefined,intermitent,undefined
232,11.0,6000.5,intermitent (65%),intermitent,intermitent,intermitent
233,11.0,6200.69,intermitent (93%),undefined,intermitent,undefined
234,11.0,6400.37,multi_jet (84%),undefined,intermitent,undefined
235,11.0,6600.52,dripping (96%),undefined,intermitent,undefined
236,11.0,6800.34,cone_jet (97%),undefined,intermitent,undefined
237,11.0,7000.55,cone_jet (89%),undefined,intermitent,undefined
238,11.0,7200.41,cone_jet (86%),undefined,intermitent,undefined
239,11.0,7400.58,multi_jet (99%),undefined,intermitent,undefined
240,11.0,7600.38,multi_jet (42%),multi_jet,multi_jet,multi_jet
241,11.0,7800.55,multi_jet (99%),undefined,intermitent,undefined
242,11.0,8000.41,multi_jet (100%),undefined,intermitent,undefined
243,11.0,8200.63,multi_jet (100%),undefined,intermitent,undefined
244,11.0,8400.43,multi_jet (94%),undefined,intermitent,undefined
245,11.0,8600.53,multi_jet (100%),undefined,intermitent,undefined
246,11.0,8800.37,multi_jet (100%),undefined,intermitent,undefined
247,11.0,9000.26,multi_jet (100%),undefined,intermitent,undefined
248,12.0,3000.58,dripping (90%),undefined,intermitent,undefined
249,12.0,3200.38,dripping (100%),intermitent,dripping,intermitent
250,12.0,3400.64,dripping (99%),undefined,intermitent,undefined
251,12.0,3600.34,dripping (97%),intermitent,intermitent,intermitent
252,12.0,3800.64,dripping (99%),undefined,intermitent,undefined
253,12.0,4000.47,dripping (98%),intermitent,intermitent,intermitent
254,12.0,4200.64,dripping (95%),intermitent,intermitent,intermitent
255,12.0,4400.48,intermitent (97%),cone_jet,cone_jet,cone_jet
256,12.0,4600.67,dripping (81%),intermitent,intermitent,intermitent
